Date,Region,AvgTemp,Humidity
2020-01-22,Hubei,7,84.875
2020-01-23,Hubei,7,86.125
2020-01-24,Hubei,7,87.125
2020-01-25,Hubei,6,83.75
2020-01-26,Hubei,5,84.875
2020-01-27,Hubei,4,75.625
2020-01-28,Hubei,8,63.5
2020-01-29,Hubei,9,62.75
2020-01-30,Hubei,13,53.625
2020-01-31,Hubei,11,50.875
2020-02-01,Hubei,12,58.625
2020-02-02,Hubei,13,60.75
2020-02-03,Hubei,12,58.5
2020-02-04,Hubei,14,58.75
2020-02-05,Hubei,14,58.0
2020-02-06,Hubei,7,78.25
2020-02-07,Hubei,8,76.75
2020-02-08,Hubei,10,68.125
2020-02-09,Hubei,14,62.5
2020-02-10,Hubei,11,67.375
2020-02-11,Hubei,11,82.875
2020-02-12,Hubei,16,77.0
2020-02-13,Hubei,17,81.625
2020-02-14,Hubei,17,83.75
2020-02-15,Hubei,2,82.0
2020-02-16,Hubei,7,53.25
2020-02-17,Hubei,11,41.375
2020-02-18,Hubei,12,43.625
2020-02-19,Hubei,14,53.0
2020-02-20,Hubei,15,55.375
2020-02-21,Hubei,15,56.0
2020-02-22,Hubei,17,61.125
2020-02-23,Hubei,17,54.375
2020-02-24,Hubei,22,65.0
2020-02-25,Hubei,20,68.375
2020-02-26,Hubei,17,77.875
2020-02-27,Hubei,11,81.75
2020-02-28,Hubei,9,85.5
2020-02-29,Hubei,14,70.875
2020-03-01,Hubei,15,64.75
2020-03-02,Hubei,10,77.5
2020-03-03,Hubei,9,77.125
2020-03-04,Hubei,13,63.625
2020-03-05,Hubei,14,60.25
2020-03-06,Hubei,13,73.875
2020-03-07,Hubei,17,74.75
2020-03-08,Hubei,18,79.5
2020-03-09,Hubei,13,83.25
2020-03-10,Hubei,16,61.125
2020-03-11,Hubei,17,50.25
2020-03-12,Hubei,17,64.625
2020-03-13,Hubei,16,66.375
2020-03-14,Hubei,18,55.75
2020-03-15,Hubei,20,43.25
2020-03-16,Hubei,18,49.0
2020-03-17,Hubei,20,55.25
2020-03-18,Hubei,21,58.0
2020-03-19,Hubei,22,51.125
2020-03-20,Hubei,24,43.75
2020-03-21,Hubei,22,67.0
2020-03-22,Hubei,21,72.375
2020-03-23,Hubei,22,65.0
2020-03-24,Hubei,23,64.25
2020-03-25,Hubei,23,76.5
2020-03-26,Hubei,24,74.25
2020-03-27,Hubei,10,76.75
2020-03-28,Hubei,10,74.625
2020-03-29,Hubei,9,82.5
2020-03-30,Hubei,13,70.75
2020-03-31,Hubei,13,70.75
2020-04-01,Hubei,16,68.125
2020-04-02,Hubei,17,66.625
2020-04-03,Hubei,18,55.5
2020-04-04,Hubei,19,54.0
2020-04-05,Hubei,20,48.0
2020-04-06,Hubei,20,47.5
2020-04-07,Hubei,21,48.375
2020-04-08,Hubei,22,48.75
2020-04-09,Hubei,26,45.125
2020-04-10,Hubei,17,66.875
2020-04-11,Hubei,13,69.25
2020-04-12,Hubei,19,49.125
2020-04-13,Hubei,21,37.875
2020-04-14,Hubei,21,43.5
2020-04-15,Hubei,24,53.75
2020-04-16,Hubei,27,56.625
2020-04-17,Hubei,24,46.125
2020-04-18,Hubei,14,75.75
2020-04-19,Hubei,20,65.375
2020-04-20,Hubei,16,75.375
2020-04-21,Hubei,16,81.375
2020-04-22,Hubei,21,60.0
2020-01-22,Spain,7,74.25
2020-01-23,Spain,7,73.75
2020-01-24,Spain,7,82.75
2020-01-25,Spain,8,85.125
2020-01-26,Spain,8,78.0
2020-01-27,Spain,7,84.875
2020-01-28,Spain,11,89.25
2020-01-29,Spain,10,86.375
2020-01-30,Spain,10,85.375
2020-01-31,Spain,12,86.25
2020-02-01,Spain,13,87.125
2020-02-02,Spain,12,87.0
2020-02-03,Spain,14,75.625
2020-02-04,Spain,15,62.625
2020-02-05,Spain,13,51.25
2020-02-06,Spain,11,70.625
2020-02-07,Spain,11,68.75
2020-02-08,Spain,10,80.75
2020-02-09,Spain,9,84.875
2020-02-10,Spain,13,78.875
2020-02-11,Spain,12,78.125
2020-02-12,Spain,13,77.125
2020-02-13,Spain,12,78.625
2020-02-14,Spain,14,69.375
2020-02-15,Spain,13,67.875
2020-02-16,Spain,14,66.5
2020-02-17,Spain,12,74.25
2020-02-18,Spain,11,59.875
2020-02-19,Spain,13,49.5
2020-02-20,Spain,15,41.75
2020-02-21,Spain,14,36.625
2020-02-22,Spain,18,33.875
2020-02-23,Spain,18,34.5
2020-02-24,Spain,16,39.0
2020-02-25,Spain,13,44.875
2020-02-26,Spain,11,47.75
2020-02-27,Spain,13,49.75
2020-02-28,Spain,15,47.0
2020-02-29,Spain,9,75.0
2020-03-01,Spain,10,79.0
2020-03-02,Spain,11,63.125
2020-03-03,Spain,8,71.125
2020-03-04,Spain,14,71.375
2020-03-05,Spain,11,69.375
2020-03-06,Spain,9,51.375
2020-03-07,Spain,10,51.625
2020-03-08,Spain,13,55.125
2020-03-09,Spain,13,49.625
2020-03-10,Spain,16,46.875
2020-03-11,Spain,18,57.25
2020-03-12,Spain,20,49.25
2020-03-13,Spain,17,58.5
2020-03-14,Spain,17,57.5
2020-03-15,Spain,16,57.125
2020-03-16,Spain,5,79.0
2020-03-17,Spain,11,74.0
2020-03-18,Spain,15,59.5
2020-03-19,Spain,14,55.0
2020-03-20,Spain,12,67.125
2020-03-21,Spain,8,75.375
2020-03-22,Spain,9,73.875
2020-03-23,Spain,11,70.75
2020-03-24,Spain,12,64.5
2020-03-25,Spain,11,56.25
2020-03-26,Spain,15,31.625
2020-03-27,Spain,8,56.0
2020-03-28,Spain,11,56.0
2020-03-29,Spain,15,42.5
2020-03-30,Spain,7,62.75
2020-03-31,Spain,6,87.625
2020-04-01,Spain,11,70.625
2020-04-02,Spain,12,58.125
2020-04-03,Spain,15,51.75
2020-04-04,Spain,14,51.625
2020-04-05,Spain,13,67.25
2020-04-06,Spain,16,74.875
2020-04-07,Spain,16,73.75
2020-04-08,Spain,17,64.5
2020-04-09,Spain,15,62.875
2020-04-10,Spain,13,88.125
2020-04-11,Spain,15,71.625
2020-04-12,Spain,15,49.75
2020-04-13,Spain,15,66.875
2020-04-14,Spain,15,66.75
2020-04-15,Spain,13,76.5
2020-04-16,Spain,15,74.5
2020-04-17,Spain,15,71.875
2020-04-18,Spain,17,61.25
2020-04-19,Spain,17,61.75
2020-04-20,Spain,15,61.5
2020-04-21,Spain,12,67.125
2020-04-22,Spain,16,53.5
2020-01-22,Italy,12,65.0
2020-01-23,Italy,13,66.625
2020-01-24,Italy,12,70.25
2020-01-25,Italy,13,78.25
2020-01-26,Italy,11,79.375
2020-01-27,Italy,12,75.25
2020-01-28,Italy,11,81.875
2020-01-29,Italy,13,74.875
2020-01-30,Italy,12,70.0
2020-01-31,Italy,12,74.0
2020-02-01,Italy,13,81.875
2020-02-02,Italy,14,82.75
2020-02-03,Italy,15,79.875
2020-02-04,Italy,14,68.5
2020-02-05,Italy,10,34.625
2020-02-06,Italy,9,33.375
2020-02-07,Italy,11,40.0
2020-02-08,Italy,11,47.0
2020-02-09,Italy,11,63.25
2020-02-10,Italy,12,79.625
2020-02-11,Italy,15,78.875
2020-02-12,Italy,14,64.25
2020-02-13,Italy,12,68.375
2020-02-14,Italy,14,61.625
2020-02-15,Italy,15,50.25
2020-02-16,Italy,15,60.75
2020-02-17,Italy,13,60.5
2020-02-18,Italy,12,73.75
2020-02-19,Italy,12,77.25
2020-02-20,Italy,13,65.25
2020-02-21,Italy,14,57.25
2020-02-22,Italy,13,63.625
2020-02-23,Italy,14,71.875
2020-02-24,Italy,15,74.75
2020-02-25,Italy,14,73.875
2020-02-26,Italy,14,60.0
2020-02-27,Italy,10,43.125
2020-02-28,Italy,15,53.375
2020-02-29,Italy,12,56.375
2020-03-01,Italy,14,75.5
2020-03-02,Italy,14,79.375
2020-03-03,Italy,12,61.125
2020-03-04,Italy,12,62.625
2020-03-05,Italy,11,61.75
2020-03-06,Italy,13,68.875
2020-03-07,Italy,13,67.625
2020-03-08,Italy,13,54.5
2020-03-09,Italy,11,56.5
2020-03-10,Italy,13,57.125
2020-03-11,Italy,15,60.875
2020-03-12,Italy,17,66.5
2020-03-13,Italy,15,73.5
2020-03-14,Italy,15,76.625
2020-03-15,Italy,14,70.75
2020-03-16,Italy,15,55.75
2020-03-17,Italy,16,56.125
2020-03-18,Italy,16,61.0
2020-03-19,Italy,18,57.5
2020-03-20,Italy,16,55.5
2020-03-21,Italy,16,53.875
2020-03-22,Italy,16,61.0
2020-03-23,Italy,13,52.125
2020-03-24,Italy,8,35.375
2020-03-25,Italy,10,40.625
2020-03-26,Italy,9,72.25
2020-03-27,Italy,13,70.25
2020-03-28,Italy,14,72.625
2020-03-29,Italy,14,72.25
2020-03-30,Italy,15,70.5
2020-03-31,Italy,15,66.125
2020-04-01,Italy,10,44.625
2020-04-02,Italy,11,53.375
2020-04-03,Italy,14,57.125
2020-04-04,Italy,16,45.875
2020-04-05,Italy,15,47.375
2020-04-06,Italy,17,47.0
2020-04-07,Italy,17,50.875
2020-04-08,Italy,18,50.375
2020-04-09,Italy,18,55.25
2020-04-10,Italy,19,51.0
2020-04-11,Italy,20,51.125
2020-04-12,Italy,20,52.25
2020-04-13,Italy,19,51.75
2020-04-14,Italy,15,62.375
2020-04-15,Italy,16,55.25
2020-04-16,Italy,16,60.375
2020-04-17,Italy,18,65.0
2020-04-18,Italy,19,72.75
2020-04-19,Italy,20,65.5
2020-04-20,Italy,16,85.625
2020-04-21,Italy,19,74.125
2020-04-22,Italy,16,79.75
2020-01-22,France,5,68.125
2020-01-23,France,5,65.625
2020-01-24,France,5,61.875
2020-01-25,France,5,88.125
2020-01-26,France,7,86.75
2020-01-27,France,9,83.25
2020-01-28,France,7,66.5
2020-01-29,France,7,73.25
2020-01-30,France,8,90.25
2020-01-31,France,12,86.75
2020-02-01,France,13,79.375
2020-02-02,France,14,83.25
2020-02-03,France,13,78.625
2020-02-04,France,8,64.0
2020-02-05,France,7,73.875
2020-02-06,France,7,66.625
2020-02-07,France,8,67.5
2020-02-08,France,9,82.0
2020-02-09,France,10,78.625
2020-02-10,France,10,60.125
2020-02-11,France,8,59.875
2020-02-12,France,7,66.625
2020-02-13,France,9,70.875
2020-02-14,France,9,78.75
2020-02-15,France,10,78.375
2020-02-16,France,14,63.625
2020-02-17,France,10,62.0
2020-02-18,France,8,63.375
2020-02-19,France,8,69.25
2020-02-20,France,9,71.125
2020-02-21,France,7,64.875
2020-02-22,France,9,74.25
2020-02-23,France,13,82.375
2020-02-24,France,12,79.5
2020-02-25,France,9,70.25
2020-02-26,France,5,64.125
2020-02-27,France,7,74.0
2020-02-28,France,5,77.875
2020-02-29,France,10,71.625
2020-03-01,France,7,75.125
2020-03-02,France,7,78.375
2020-03-03,France,6,69.625
2020-03-04,France,6,77.875
2020-03-05,France,9,87.625
2020-03-06,France,8,70.125
2020-03-07,France,8,72.625
2020-03-08,France,9,79.625
2020-03-09,France,9,67.5
2020-03-10,France,13,83.5
2020-03-11,France,15,73.625
2020-03-12,France,11,63.625
2020-03-13,France,9,60.375
2020-03-14,France,9,73.625
2020-03-15,France,11,73.375
2020-03-16,France,10,80.375
2020-03-17,France,12,75.0
2020-03-18,France,14,71.25
2020-03-19,France,16,64.75
2020-03-20,France,15,66.0
2020-03-21,France,9,73.5
2020-03-22,France,8,57.125
2020-03-23,France,7,41.875
2020-03-24,France,9,39.125
2020-03-25,France,8,42.5
2020-03-26,France,7,44.625
2020-03-27,France,9,58.75
2020-03-28,France,13,65.125
2020-03-29,France,7,53.625
2020-03-30,France,5,43.625
2020-03-31,France,8,64.25
2020-04-01,France,11,48.375
2020-04-02,France,8,57.0
2020-04-03,France,11,67.25
2020-04-04,France,12,60.875
2020-04-05,France,16,58.625
2020-04-06,France,12,66.5
2020-04-07,France,16,74.5
2020-04-08,France,20,58.625
2020-04-09,France,22,54.125
2020-04-10,France,21,48.5
2020-04-11,France,21,50.375
2020-04-12,France,21,46.125
2020-04-13,France,15,60.625
2020-04-14,France,9,51.875
2020-04-15,France,13,52.625
2020-04-16,France,18,62.25
2020-04-17,France,20,63.875
2020-04-18,France,19,61.125
2020-04-19,France,17,66.25
2020-04-20,France,16,62.0
2020-04-21,France,16,52.25
2020-04-22,France,18,54.125
2020-01-22,Germany,5,86.25
2020-01-23,Germany,2,92.625
2020-01-24,Germany,3,81.125
2020-01-25,Germany,2,75.0
2020-01-26,Germany,3,70.875
2020-01-27,Germany,5,87.25
2020-01-28,Germany,7,75.75
2020-01-29,Germany,4,77.125
2020-01-30,Germany,6,80.5
2020-01-31,Germany,9,79.75
2020-02-01,Germany,10,85.0
2020-02-02,Germany,8,77.875
2020-02-03,Germany,8,83.75
2020-02-04,Germany,6,75.75
2020-02-05,Germany,4,73.375
2020-02-06,Germany,4,82.5
2020-02-07,Germany,6,84.0
2020-02-08,Germany,5,77.0
2020-02-09,Germany,9,70.25
2020-02-10,Germany,8,65.75
2020-02-11,Germany,5,67.875
2020-02-12,Germany,4,63.125
2020-02-13,Germany,4,74.5
2020-02-14,Germany,5,89.25
2020-02-15,Germany,6,81.5
2020-02-16,Germany,11,64.75
2020-02-17,Germany,10,63.125
2020-02-18,Germany,7,70.125
2020-02-19,Germany,6,74.375
2020-02-20,Germany,5,79.625
2020-02-21,Germany,6,72.625
2020-02-22,Germany,9,63.75
2020-02-23,Germany,7,79.25
2020-02-24,Germany,6,77.25
2020-02-25,Germany,8,71.5
2020-02-26,Germany,4,77.25
2020-02-27,Germany,4,77.5
2020-02-28,Germany,5,74.125
2020-02-29,Germany,8,78.75
2020-03-01,Germany,8,68.875
2020-03-02,Germany,7,79.5
2020-03-03,Germany,6,80.5
2020-03-04,Germany,6,73.875
2020-03-05,Germany,6,72.125
2020-03-06,Germany,7,81.5
2020-03-07,Germany,6,80.5
2020-03-08,Germany,7,76.125
2020-03-09,Germany,9,78.75
2020-03-10,Germany,7,82.75
2020-03-11,Germany,10,71.0
2020-03-12,Germany,10,65.0
2020-03-13,Germany,6,70.375
2020-03-14,Germany,7,54.625
2020-03-15,Germany,8,44.75
2020-03-16,Germany,11,57.875
2020-03-17,Germany,12,72.25
2020-03-18,Germany,13,62.0
2020-03-19,Germany,12,77.25
2020-03-20,Germany,8,64.5
2020-03-21,Germany,5,59.25
2020-03-22,Germany,4,45.375
2020-03-23,Germany,4,38.25
2020-03-24,Germany,5,39.5
2020-03-25,Germany,5,41.875
2020-03-26,Germany,6,50.5
2020-03-27,Germany,11,62.875
2020-03-28,Germany,11,65.0
2020-03-29,Germany,4,71.5
2020-03-30,Germany,3,62.75
2020-03-31,Germany,3,61.0
2020-04-01,Germany,6,57.75
2020-04-02,Germany,7,67.875
2020-04-03,Germany,8,58.125
2020-04-04,Germany,10,57.125
2020-04-05,Germany,12,58.0
2020-04-06,Germany,15,53.375
2020-04-07,Germany,16,61.125
2020-04-08,Germany,17,49.75
2020-04-09,Germany,15,52.125
2020-04-10,Germany,13,48.0
2020-04-11,Germany,13,50.625
2020-04-12,Germany,17,50.125
2020-04-13,Germany,9,55.625
2020-04-14,Germany,8,51.5
2020-04-15,Germany,10,60.0
2020-04-16,Germany,14,60.0
2020-04-17,Germany,15,52.125
2020-04-18,Germany,14,44.375
2020-04-19,Germany,10,42.875
2020-04-20,Germany,11,50.625
2020-04-21,Germany,12,53.625
2020-04-22,Germany,15,55.875
2020-01-22,Turkey,-1,74.125
2020-01-23,Turkey,-0,70.875
2020-01-24,Turkey,-2,70.5
2020-01-25,Turkey,1,66.125
2020-01-26,Turkey,2,62.0
2020-01-27,Turkey,3,65.75
2020-01-28,Turkey,3,86.25
2020-01-29,Turkey,5,79.0
2020-01-30,Turkey,4,90.375
2020-01-31,Turkey,0,75.75
2020-02-01,Turkey,3,79.25
2020-02-02,Turkey,5,87.625
2020-02-03,Turkey,7,79.25
2020-02-04,Turkey,7,87.5
2020-02-05,Turkey,10,73.75
2020-02-06,Turkey,3,86.25
2020-02-07,Turkey,1,75.5
2020-02-08,Turkey,-4,56.75
2020-02-09,Turkey,-5,73.375
2020-02-10,Turkey,-3,74.375
2020-02-11,Turkey,0,73.25
2020-02-12,Turkey,3,89.0
2020-02-13,Turkey,3,76.75
2020-02-14,Turkey,3,63.125
2020-02-15,Turkey,5,60.625
2020-02-16,Turkey,5,74.375
2020-02-17,Turkey,6,63.25
2020-02-18,Turkey,7,53.375
2020-02-19,Turkey,7,60.375
2020-02-20,Turkey,7,62.875
2020-02-21,Turkey,4,92.625
2020-02-22,Turkey,3,90.875
2020-02-23,Turkey,6,74.125
2020-02-24,Turkey,8,72.75
2020-02-25,Turkey,6,56.875
2020-02-26,Turkey,11,46.75
2020-02-27,Turkey,10,59.5
2020-02-28,Turkey,8,72.5
2020-02-29,Turkey,8,74.0
2020-03-01,Turkey,7,64.875
2020-03-02,Turkey,10,58.25
2020-03-03,Turkey,14,51.25
2020-03-04,Turkey,15,47.25
2020-03-05,Turkey,13,47.5
2020-03-06,Turkey,10,67.875
2020-03-07,Turkey,14,55.0
2020-03-08,Turkey,17,46.125
2020-03-09,Turkey,17,45.625
2020-03-10,Turkey,12,56.25
2020-03-11,Turkey,12,62.25
2020-03-12,Turkey,15,50.5
2020-03-13,Turkey,15,63.75
2020-03-14,Turkey,17,60.875
2020-03-15,Turkey,16,51.25
2020-03-16,Turkey,4,68.75
2020-03-17,Turkey,3,48.125
2020-03-18,Turkey,2,52.5
2020-03-19,Turkey,2,85.125
2020-03-20,Turkey,4,73.875
2020-03-21,Turkey,8,66.5
2020-03-22,Turkey,12,55.375
2020-03-23,Turkey,14,48.25
2020-03-24,Turkey,13,58.875
2020-03-25,Turkey,13,65.375
2020-03-26,Turkey,13,61.625
2020-03-27,Turkey,14,62.25
2020-03-28,Turkey,10,83.5
2020-03-29,Turkey,6,87.75
2020-03-30,Turkey,9,75.25
2020-03-31,Turkey,13,59.125
2020-04-01,Turkey,12,65.0
2020-04-02,Turkey,12,67.125
2020-04-03,Turkey,9,66.625
2020-04-04,Turkey,12,63.375
2020-04-05,Turkey,13,70.25
2020-04-06,Turkey,12,72.75
2020-04-07,Turkey,11,46.875
2020-04-08,Turkey,12,47.125
2020-04-09,Turkey,13,53.0
2020-04-10,Turkey,14,52.375
2020-04-11,Turkey,14,47.0
2020-04-12,Turkey,14,45.0
2020-04-13,Turkey,15,39.875
2020-04-14,Turkey,17,40.625
2020-04-15,Turkey,17,48.375
2020-04-16,Turkey,12,63.125
2020-04-17,Turkey,17,53.75
2020-04-18,Turkey,19,45.0
2020-04-19,Turkey,19,40.25
2020-04-20,Turkey,20,40.25
2020-04-21,Turkey,12,78.125
2020-04-22,Turkey,11,81.125
2020-01-22,United Kingdom,6,93.125
2020-01-23,United Kingdom,7,88.5
2020-01-24,United Kingdom,7,84.5
2020-01-25,United Kingdom,7,85.625
2020-01-26,United Kingdom,8,89.125
2020-01-27,United Kingdom,7,85.375
2020-01-28,United Kingdom,5,63.25
2020-01-29,United Kingdom,6,71.75
2020-01-30,United Kingdom,9,91.875
2020-01-31,United Kingdom,10,84.0
2020-02-01,United Kingdom,10,71.5
2020-02-02,United Kingdom,11,76.5
2020-02-03,United Kingdom,9,67.875
2020-02-04,United Kingdom,7,64.75
2020-02-05,United Kingdom,7,69.25
2020-02-06,United Kingdom,8,75.375
2020-02-07,United Kingdom,7,77.0
2020-02-08,United Kingdom,9,72.625
2020-02-09,United Kingdom,13,72.0
2020-02-10,United Kingdom,7,59.625
2020-02-11,United Kingdom,6,49.5
2020-02-12,United Kingdom,6,59.5
2020-02-13,United Kingdom,8,79.125
2020-02-14,United Kingdom,8,82.75
2020-02-15,United Kingdom,11,82.125
2020-02-16,United Kingdom,11,72.0
2020-02-17,United Kingdom,8,59.125
2020-02-18,United Kingdom,7,69.625
2020-02-19,United Kingdom,5,73.5
2020-02-20,United Kingdom,8,70.75
2020-02-21,United Kingdom,8,68.5
2020-02-22,United Kingdom,11,68.25
2020-02-23,United Kingdom,12,68.375
2020-02-24,United Kingdom,11,75.75
2020-02-25,United Kingdom,7,61.5
2020-02-26,United Kingdom,2,98.25
2020-02-27,United Kingdom,3,87.25
2020-02-28,United Kingdom,-5,74.125
2020-02-29,United Kingdom,-6,76.625
2020-03-01,United Kingdom,-7,78.375
2020-03-02,United Kingdom,1,85.5
2020-03-03,United Kingdom,7,91.625
2020-03-04,United Kingdom,3,78.625
2020-03-05,United Kingdom,2,75.625
2020-03-06,United Kingdom,2,86.25
2020-03-07,United Kingdom,-2,72.0
2020-03-08,United Kingdom,3,69.5
2020-03-09,United Kingdom,10,71.75
2020-03-10,United Kingdom,10,87.25
2020-03-11,United Kingdom,3,70.25
2020-03-12,United Kingdom,5,75.375
2020-03-13,United Kingdom,7,86.75
2020-03-14,United Kingdom,4,62.5
2020-03-15,United Kingdom,0,57.25
2020-03-16,United Kingdom,1,47.625
2020-03-17,United Kingdom,4,86.75
2020-03-18,United Kingdom,5,64.875
2020-03-19,United Kingdom,2,94.875
2020-03-20,United Kingdom,12,92.5
2020-03-21,United Kingdom,1,57.125
2020-03-22,United Kingdom,-0,39.875
2020-03-23,United Kingdom,1,60.5
2020-03-24,United Kingdom,2,92.5
2020-03-25,United Kingdom,2,90.875
2020-03-26,United Kingdom,5,88.75
2020-03-27,United Kingdom,7,80.0
2020-03-28,United Kingdom,8,75.0
2020-03-29,United Kingdom,5,97.125
2020-03-30,United Kingdom,4,96.875
2020-03-31,United Kingdom,4,85.125
2020-04-01,United Kingdom,5,81.125
2020-04-02,United Kingdom,4,87.5
2020-04-03,United Kingdom,7,94.875
2020-04-04,United Kingdom,7,90.125
2020-04-05,United Kingdom,11,83.5
2020-04-06,United Kingdom,8,65.25
2020-04-07,United Kingdom,10,55.75
2020-04-08,United Kingdom,11,63.375
2020-04-09,United Kingdom,6,87.125
2020-04-10,United Kingdom,4,77.125
2020-04-11,United Kingdom,4,67.5
2020-04-12,United Kingdom,9,64.75
2020-04-13,United Kingdom,12,95.125
2020-04-14,United Kingdom,7,62.75
2020-04-15,United Kingdom,4,53.5
2020-04-16,United Kingdom,4,55.125
2020-04-17,United Kingdom,5,49.375
2020-04-18,United Kingdom,4,82.625
2020-04-19,United Kingdom,9,77.25
2020-04-20,United Kingdom,6,64.5
2020-04-21,United Kingdom,7,75.375
2020-04-22,United Kingdom,2,54.125
2020-01-22,New York,2,50.875
2020-01-23,New York,2,55.75
2020-01-24,New York,6,50.75
2020-01-25,New York,8,88.0
2020-01-26,New York,5,67.875
2020-01-27,New York,4,63.625
2020-01-28,New York,3,58.875
2020-01-29,New York,3,48.125
2020-01-30,New York,1,41.125
2020-01-31,New York,4,68.375
2020-02-01,New York,5,85.25
2020-02-02,New York,4,76.875
2020-02-03,New York,8,73.375
2020-02-04,New York,9,86.0
2020-02-05,New York,5,62.875
2020-02-06,New York,7,90.125
2020-02-07,New York,9,77.5
2020-02-08,New York,3,44.625
2020-02-09,New York,5,57.5
2020-02-10,New York,6,76.875
2020-02-11,New York,7,96.5
2020-02-12,New York,4,52.5
2020-02-13,New York,9,85.125
2020-02-14,New York,-2,45.25
2020-02-15,New York,-2,38.125
2020-02-16,New York,3,55.875
2020-02-17,New York,5,56.375
2020-02-18,New York,7,76.125
2020-02-19,New York,5,53.75
2020-02-20,New York,1,39.25
2020-02-21,New York,-0,32.875
2020-02-22,New York,4,31.875
2020-02-23,New York,8,43.125
2020-02-24,New York,9,59.5
2020-02-25,New York,7,83.25
2020-02-26,New York,7,86.125
2020-02-27,New York,5,60.375
2020-02-28,New York,2,35.625
2020-02-29,New York,0,36.75
2020-03-01,New York,2,42.5
2020-03-02,New York,9,54.125
2020-03-03,New York,11,80.375
2020-03-04,New York,9,53.25
2020-03-05,New York,8,48.0
2020-03-06,New York,7,62.5
2020-03-07,New York,5,49.125
2020-03-08,New York,8,37.875
2020-03-09,New York,14,44.625
2020-03-10,New York,14,63.375
2020-03-11,New York,10,50.75
2020-03-12,New York,8,61.375
2020-03-13,New York,15,72.375
2020-03-14,New York,9,41.625
2020-03-15,New York,9,47.5
2020-03-16,New York,5,44.625
2020-03-17,New York,9,78.875
2020-03-18,New York,8,53.625
2020-03-19,New York,8,85.125
2020-03-20,New York,16,83.375
2020-03-21,New York,8,41.0
2020-03-22,New York,4,40.875
2020-03-23,New York,5,77.75
2020-03-24,New York,8,65.5
2020-03-25,New York,7,68.875
2020-03-26,New York,10,59.625
2020-03-27,New York,15,55.75
2020-03-28,New York,10,64.75
2020-03-29,New York,11,88.5
2020-03-30,New York,12,72.25
2020-03-31,New York,7,68.625
2020-04-01,New York,8,56.0
2020-04-02,New York,9,52.625
2020-04-03,New York,10,68.375
2020-04-04,New York,12,65.375
2020-04-05,New York,11,72.5
2020-04-06,New York,15,46.375
2020-04-07,New York,15,40.125
2020-04-08,New York,16,69.75
2020-04-09,New York,13,62.875
2020-04-10,New York,8,44.375
2020-04-11,New York,9,39.625
2020-04-12,New York,14,49.5
2020-04-13,New York,17,77.0
2020-04-14,New York,11,45.5
2020-04-15,New York,9,37.5
2020-04-16,New York,7,35.125
2020-04-17,New York,8,42.125
2020-04-18,New York,8,74.375
2020-04-19,New York,12,47.375
2020-04-20,New York,11,48.375
2020-04-21,New York,13,55.625
2020-04-22,New York,7,32.375
